SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,20,206,10.3,0,0,0,0,0,0,0,1,1,1,1,1,0.286769
3,5.12,10,10,protocol,7.5,30,286,9.53333,20,20,1,1,1,1,1,1,1,1,1,1,0.329516
4,8.192,16,10,protocol,7.5,30,286,9.53333,20,20,1,1,1,1,1,1,1,1,1,1,0.272823
5,14.336,28,10,protocol,7.5,30,278,9.26667,20,20,1,1,1,1,1,1,1,1,1,1,0.375503
6,14.336,28,10,protocol,7.5,40,418,10.45,40,40,1,1,1,1,1,1,1,1,1,1,0.36911
7,14.336,28,10,protocol,7.5,40,423,10.575,40,40,1,1,1,1,1,1,1,1,1,1,0.390378
8,14.336,28,10,protocol,7.5,40,433,10.825,40,40,1,1,1,1,1,1,1,1,1,1,0.383862
9,13.824,27,10,protocol,7.5,40,422,10.55,40,39,0.975,0.975,0.975,0.971429,0.958333,0.958333,0.958333,0.958333,0.958333,0.958333,0.398172
10,14.848,29,10,protocol,7.5,40,447,11.175,40,40,1,1,1,1,1,1,1,1,1,1,0.391193
11,15.36,30,10,protocol,7.5,40,451,11.275,40,40,1,1,1,1,1,1,1,1,1,1,0.410057
12,16.384,32,10,protocol,7.5,40,445,11.125,40,40,1,1,1,1,1,1,1,1,1,1,0.414815
13,15.872,31,10,protocol,7.5,40,456,11.4,40,40,1,1,1,1,1,1,1,1,1,1,0.425121
14,16.384,32,10,protocol,7.5,40,453,11.325,40,40,1,1,1,1,1,1,1,1,1,1,0.422838
15,16.384,32,10,protocol,7.5,40,458,11.45,40,40,1,1,1,1,1,1,1,1,1,1,0.429542
16,15.36,30,10,protocol,7.5,40,464,11.6,40,40,1,1,1,1,1,1,1,1,1,1,0.431253
17,16.384,32,10,protocol,7.5,40,469,11.725,36,36,1,1,1,1,1,1,1,1,1,1,0.437458
18,16.384,32,10,protocol,7.5,40,477,11.925,20,20,1,1,1,1,1,1,1,1,1,1,0.435788
19,16.384,32,10,protocol,7.5,40,488,12.2,34,34,1,1,1,1,1,1,1,1,1,1,0.440869
20,16.384,32,10,protocol,7.5,40,501,12.525,32,32,1,1,1,1,1,1,1,1,1,1,0.439237
21,14.336,28,10,protocol,7.5,40,503,12.575,20,20,1,1,1,1,1,1,1,1,1,1,0.443811
